ViralOTU	SRR8653090	SRR8653247	SRR8653248	SRR8652861	SRR8653245	SRR8653221	SRR8653084	SRR8653218	SRR8652914	SRR8652969
vOTU_1055	376	213	0	5	3	56	1098	2	5662	1912
vOTU_21	9	443	9	24	0	23	338	5	775	7762
vOTU_38	0	21	77	76	69	272	17626	920	0	47
vOTU_637	4	24	359	2	276	1886	126	641	0	4
vOTU_932	0	3	411	3	0	0	7	0	2	1
vOTU_323	4	200	1014	882	2356	5805	0	5952	46	7273
vOTU_938	2365	1072	3	35	2	9	275	0	2229	335
vOTU_842	0	29	76	225	274	278	0	4	2	261
vOTU_1494	0	0	38	1	7	30	465	23	0	2
vOTU_1124	0	0	9	0	291	5	4	5	0	0
vOTU_102	0	0	0	0	0	9377	0	0	0	0
vOTU_199	18	6	6	3	3	54	2243	0	1	513
vOTU_1427	5	4	8	1	0	72	7	0	532	73
vOTU_184	0	0	0	0	0	0	0	0	0	3817
vOTU_1426	57	9	1	507	259	259	0	5	4	1567
vOTU_1601	0	0	148	0	0	0	0	0	0	0
vOTU_1662	0	6	2	505	7	25	1718	54	0	251
vOTU_209	19	0	0	133	6245	1	33	6	18	0
vOTU_1262	0	33	337	0	36	325	2	69	0	0
vOTU_530	9	36	2	57	147	69	6243	85	1	28
vOTU_791	0	0	0	0	0	0	723	0	0	0
vOTU_1596	7	7	106	304	113	531	0	1685	0	1057
vOTU_1223	0	41	188	1074	609	81	1634	199	0	199
